id,name,short_name
1,Arsenal,ARS
2,Bournemouth,BOU
3,Brighton,BRI
4,Burnley,BUR
5,Cardiff,CAR
6,Chelsea,CHE
7,Crystal Palace,CRY
8,Everton,EVE
9,Fulham,FUL
10,Huddersfield,HUD
11,Leicester,LEI
12,Liverpool,LIV
13,Man City,MCI
14,Man Utd,MUN
15,Newcastle,NEW
16,Southampton,SOU
17,Spurs,TOT
18,Watford,WAT
19,West Ham,WHU
20,Wolves,WOL
