,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name
597,Angelo,Ogbonna,2,0,81,2786,44,37.8,579.0,168.0,0,453,78.4,7,0,4,0.9,45,2,DEF,45,WHU
598,Arthur,Masuaku,0,1,26,930,18,128.6,240.8,53.0,3,166,42.4,2,1,4,0.4,41,2,DEF,45,WHU
599,Pablo,Zabaleta,0,0,10,588,14,50.5,110.4,12.0,0,90,17.4,0,0,2,0.4,41,2,DEF,45,WHU
600,Ryan,Fredericks,0,3,74,2235,39,333.7,491.2,76.0,7,423,90.5,7,0,7,0.4,44,2,DEF,45,WHU
601,Issa,Diop,3,1,76,2765,54,64.3,610.0,210.0,3,424,88.7,4,0,8,2.5,43,2,DEF,45,WHU
602,Fabián,Balbuena,1,0,40,1176,24,18.5,268.0,149.0,3,210,43.6,3,0,2,0.3,43,2,DEF,45,WHU
603,Winston,Reid,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.6,39,2,DEF,40,WHU
604,Ben,Johnson,0,0,6,270,3,25.2,48.0,1.0,0,32,7.4,0,0,0,2.2,40,2,DEF,40,WHU
605,Marko,Arnautovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,70,4,FWD,70,WHU
606,Javier,Hernández Balcázar,1,0,9,106,4,2.2,35.6,39.0,2,27,7.7,0,0,0,0.3,60,4,FWD,60,WHU
607,Alexandre Nascimento,Costa Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,43,4,FWD,45,WHU
608,Lukasz,Fabianski,0,0,83,2117,34,0.0,531.2,0.0,5,414,53.2,5,0,1,2.2,49,1,GK,50,WHU
609,Michail,Antonio,10,4,111,1767,30,377.4,552.8,1094.0,8,284,201.7,3,0,3,5.4,71,3,MID,70,WHU
610,Felipe Anderson,Pereira Gomes,1,4,66,1493,27,414.7,377.2,355.0,1,299,114.8,7,0,1,2.4,66,3,MID,70,WHU
611,Manuel,Lanzini,0,3,50,1370,30,464.8,219.0,281.0,3,234,96.5,2,0,1,0.7,61,3,MID,65,WHU
612,Andriy,Yarmolenko,5,1,70,981,17,265.7,284.4,329.0,10,231,87.9,3,0,2,0.7,52,3,MID,60,WHU
613,Robert,Snodgrass,5,5,87,1504,33,552.1,422.2,320.0,8,312,129.7,3,0,4,0.6,50,3,MID,55,WHU
614,Jack,Wilshere,0,0,8,209,5,7.0,6.4,4.0,0,14,1.5,0,0,0,0.2,46,3,MID,50,WHU
615,Declan,Rice,1,5,105,3420,62,350.8,715.8,259.0,8,616,132.5,7,0,6,1.8,47,3,MID,50,WHU
616,Mark,Noble,4,4,105,2675,44,602.2,542.2,164.0,8,504,131.1,7,0,5,1.0,49,3,MID,50,WHU
617,Carlos,Sánchez,0,0,7,112,2,3.7,8.4,0.0,0,20,1.1,0,0,0,0.4,43,3,MID,45,WHU
618,Grady,Diangana,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,3,MID,45,WHU
