,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name
16,Jack,Wilshere,0,3,61,1950,45,544.4,308.4,321,2,312,116.8,5,0,4,0.5,58,3,MID,60,BOU
17,Alex,Oxlade-Chamberlain,2,7,83,1564,22,519.9,435.4,416,3,393,137.5,4,0,1,1.4,58,3,MID,60,ARS
18,Serge,Gnabry,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,50,3,MID,50,ARS
19,Francis,Coquelin,0,1,52,1779,27,314.1,291.6,117,1,303,72.4,5,0,5,1.9,42,3,MID,45,ARS
20,Alex,Iwobi,3,5,89,1456,20,467.8,326.4,592,8,352,138.7,9,0,1,1.1,53,3,MID,60,ARS
21,Mohamed,Elneny,0,1,26,694,9,108.6,89.0,116,0,133,31.1,3,0,1,0.4,45,3,MID,50,ARS
22,Joel,Campbell,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,59,3,MID,60,ARS
23,Granit,Xhaka,2,3,85,2483,32,626.2,488.8,193,7,506,130.8,10,2,5,3.2,52,3,MID,55,ARS
24,Olivier,Giroud,12,5,116,1206,16,275.1,522.6,797,17,432,158.9,4,0,2,4.7,81,4,FWD,90,ARS
25,Danny,Welbeck,2,2,37,748,11,89.9,144.8,321,0,117,55.5,3,0,0,0.8,73,4,FWD,75,ARS
26,Yaya,Sanogo,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,46,4,FWD,50,ARS
27,Takuma,Asano,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,49,4,FWD,50,ARS
28,Artur,Boruc,0,0,120,3150,63,10.0,815.4,0,7,657,82.4,9,0,2,6.2,45,1,GK,45,BOU
29,Adam,Federici,0,0,8,180,3,0.0,34.4,0,1,37,3.5,1,0,1,0.1,44,1,GK,45,BOU
30,Simon,Francis,0,1,89,2938,54,291.2,748.2,130,7,639,117.3,10,1,4,1.4,45,2,DEF,45,BOU
31,Steve,Cook,2,0,112,3420,67,66.2,1123.0,391,17,777,158.2,10,0,5,3.2,48,2,DEF,50,BOU
32,Charlie,Daniels,4,3,134,3060,53,528.3,698.2,302,14,692,152.9,10,0,1,9.9,52,2,DEF,50,BOU
33,Adam,Smith,1,5,104,3101,61,509.8,566.6,242,12,645,132.1,8,0,6,7.0,46,2,DEF,45,BOU
34,Tyrone,Mings,0,0,4,506,16,18.3,125.4,45,2,89,18.9,0,0,0,0.0,45,2,DEF,45,BOU
35,Nathan,Aké,3,1,55,834,20,55.5,373.2,147,8,267,57.5,3,0,1,6.1,39,2,DEF,45,CHE
36,Harry,Arter,1,4,84,2956,62,533.0,482.0,343,6,513,135.4,9,1,11,0.3,50,3,MID,50,BOU
37,Marc,Pugh,2,3,64,1329,24,304.6,238.6,290,6,224,83.3,5,0,1,0.4,46,3,MID,50,BOU
38,Andrew,Surman,0,1,44,1800,38,223.8,256.8,90,0,288,57.0,4,1,1,0.1,46,3,MID,50,BOU
39,Eunan,O'Kane,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.3,44,3,MID,45,BOU
40,Shaun,MacDonald,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,45,3,MID,45,BOU
41,Junior,Stanislas,7,6,107,1467,29,406.9,454.6,418,13,372,128.0,4,0,1,1.3,46,3,MID,55,BOU
42,Dan,Gosling,2,0,49,1366,24,181.7,254.0,168,2,254,60.5,4,0,6,0.1,47,3,MID,50,BOU
43,Max,Gradel,0,0,8,134,1,18.2,24.6,70,0,24,10.8,0,0,3,0.1,50,3,MID,55,BOU
44,Emerson,Hyndman,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,44,3,MID,45,BOU
45,Jordon,Ibe,0,0,36,1055,22,268.3,113.0,235,0,133,61.5,3,0,0,1.1,49,3,MID,55,BOU
46,Lewis,Cook,0,2,17,432,7,89.8,100.8,28,1,81,21.8,1,0,1,0.8,42,3,MID,45,BOU
47,Joshua,King,16,3,178,2714,54,474.6,835.2,1007,17,553,231.6,9,0,1,19.3,62,3,MID,55,BOU
48,Callum,Wilson,6,1,63,1361,25,125.7,229.0,487,2,170,82.2,6,0,0,1.1,60,4,FWD,65,BOU
49,Tokelo,Rantie,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.3,45,4,FWD,45,BOU
50,Lewis,Grabban,0,1,6,60,2,11.8,24.2,17,0,17,5.3,0,0,0,2.9,43,4,FWD,45,BOU
51,Benik,Afobe,6,5,88,1458,24,320.7,350.0,639,9,259,130.8,5,0,1,1.2,53,4,FWD,60,BOU
52,Lys,Mousset,0,1,14,270,4,39.6,27.8,109,0,22,16.1,1,0,0,0.1,51,4,FWD,55,BOU
53,Tom,Heaton,0,0,149,3150,48,30.3,1001.6,0,21,741,103.2,10,0,1,18.6,51,1,GK,45,BUR
54,Matthew,Lowton,0,2,90,3240,53,491.5,770.6,80,5,631,134.2,9,0,9,0.8,45,2,DEF,45,BUR
55,Ben,Mee,1,2,94,3015,49,93.7,890.0,281,6,592,126.7,9,0,5,2.2,44,2,DEF,45,BUR
56,Stephen,Ward,1,1,91,3230,53,409.9,644.6,128,3,596,118.3,8,0,5,1.6,45,2,DEF,45,BUR
57,Michael,Keane,2,1,113,3150,49,96.7,930.8,557,10,619,158.6,10,0,4,3.3,50,2,DEF,50,BUR
58,James,Tarkowski,0,0,23,568,11,53.4,146.2,81,0,111,27.5,1,0,1,1.8,40,2,DEF,40,BUR
59,Tendayi,Darikwa,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,42,2,DEF,45,BUR
60,David,Jones,0,0,1,86,1,11.7,0.0,2,0,8,1.3,0,0,1,0.0,50,3,MID,50,BUR
61,George,Boyd,2,2,92,2837,45,268.4,330.6,376,2,386,97.2,9,0,3,0.2,51,3,MID,55,BUR
62,Scott,Arfield,1,2,69,2103,36,556.5,210.2,393,3,253,115.7,6,0,3,0.1,52,3,MID,55,BUR
63,Dean,Marney,1,2,51,1764,28,88.7,244.4,73,1,239,40.5,5,0,7,0.4,43,3,MID,45,BUR
64,Fredrik,Ulvestad,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,44,3,MID,45,BUR
65,Michael,Kightly,0,0,6,104,1,9.3,2.8,4,0,20,1.5,0,0,0,0.6,42,3,MID,45,BUR
66,Sam,Vokes,10,4,121,2064,34,248.1,500.0,907,12,394,164.6,5,0,0,3.2,57,4,FWD,60,BUR
67,Andre,Gray,9,3,108,2260,33,320.2,415.6,648,10,303,137.4,8,0,2,4.0,60,4,FWD,65,BUR
68,Lukas,Jutkiewicz,0,0,2,13,0,1.0,0.4,2,0,5,0.3,0,0,0,0.6,43,4,FWD,45,BUR
69,Ashley,Barnes,6,3,81,1774,27,277.1,328.8,663,10,241,125.5,6,1,6,4.3,46,4,FWD,45,BUR
70,Rouwen,Hennings,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,45,4,FWD,45,BUR
71,Chris,Long,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.3,45,4,FWD,45,BUR
72,Thibaut,Courtois,0,0,141,3240,28,0.0,517.6,0,0,623,52.0,16,0,1,14.1,59,1,GK,55,CHE
73,Asmir,Begovic,0,0,2,180,5,0.0,13.2,0,0,17,1.3,0,0,0,0.2,46,1,GK,50,CHE
74,John,Terry,1,0,21,496,9,24.3,104.6,104,0,97,23.3,1,0,1,1.9,52,2,DEF,55,CHE
75,Branislav,Ivanovic,0,1,23,589,9,69.4,114.6,112,2,143,29.4,1,0,2,2.7,56,2,DEF,60,CHE
76,César,Azpilicueta,1,5,170,3420,33,422.8,792.8,150,22,872,136.8,16,0,4,18.1,64,2,DEF,60,CHE
77,Gary,Cahill,6,0,178,3296,29,100.8,831.6,400,15,778,133.3,17,0,5,15.3,67,2,DEF,60,CHE
78,Kurt,Zouma,0,1,15,250,8,13.5,60.6,4,3,69,7.8,0,0,0,0.3,53,2,DEF,55,CHE
79,Abdul Rahman,Baba,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,55,2,DEF,55,CHE
80,Matt,Miazga,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,44,2,DEF,45,CHE
81,Eden,Hazard,16,9,224,2985,29,1306.8,1044.6,1162,33,869,351.6,17,0,3,30.6,105,3,MID,100,CHE
82,Cesc,Fàbregas,5,15,121,1340,14,881.8,635.0,325,14,529,184.1,4,0,8,3.3,70,3,MID,75,CHE
83,Oscar,dos Santos Emboaba Junior,0,1,17,455,6,197.4,97.4,128,0,104,42.2,1,0,1,0.5,71,3,MID,75,CHE
84,Juan,Cuadrado,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.5,69,3,MID,70,CHE
85,Willian,Borges Da Silva,8,3,114,1534,19,809.4,491.4,522,13,441,182.1,6,0,3,3.5,70,3,MID,75,CHE
86,Nemanja,Matic,1,8,105,2694,24,447.1,546.8,279,1,550,127.5,15,0,4,3.9,48,3,MID,50,CHE
87,Ruben,Loftus-Cheek,0,0,6,35,0,3.9,3.8,25,0,16,3.4,0,0,0,0.1,50,3,MID,55,CHE
88,John Obi,Mikel,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,44,3,MID,45,CHE
89,Pedro,Rodríguez Ledesma,9,10,162,2140,15,697.9,639.0,669,18,580,198.8,15,0,6,8.5,68,3,MID,75,CHE
90,Bertrand,Traore,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,54,3,MID,55,CHE
91,Victor,Moses,3,3,105,2485,15,456.2,528.6,683,6,476,166.7,17,0,4,2.2,55,3,MID,55,CHE
92,Marco,Van Ginkel,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,49,3,MID,50,CHE
93,Robert Kenedy,Nunes do Nascimento,0,0,3,90,3,11.8,1.8,46,0,8,6.0,0,0,0,0.0,51,3,MID,55,CHE
94,N'Golo,Kanté,1,1,83,3138,33,432.8,515.4,244,1,554,119.0,13,0,9,11.7,47,3,MID,50,CHE
95,Michy,Batshuayi,5,1,48,254,3,40.9,193.2,277,4,169,50.7,0,0,0,1.2,84,4,FWD,90,CHE
96,Diego,Da Silva Costa,20,11,196,3083,30,687.9,982.6,1891,25,657,355.0,14,0,10,32.2,104,4,FWD,95,CHE
97,Loïc,Remy,0,0,6,134,3,26.9,20.0,60,0,17,10.2,1,0,0,0.2,62,4,FWD,65,CRY
98,Julian,Speroni,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2,43,1,GK,45,CRY
99,Wayne,Hennessey,0,0,92,2610,46,31.1,600.4,0,4,497,63.2,7,0,1,3.1,43,1,GK,45,CRY
100,Alex,McCarthy,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,43,1,GK,45,SOU
101,Steve,Mandanda,0,0,19,810,17,0.0,182.8,0,0,120,18.2,0,0,0,1.9,42,1,GK,45,CRY
102,James,Tomkins,3,0,75,1974,36,35.7,471.0,213,5,359,72.1,6,0,4,0.2,48,2,DEF,50,CRY
103,Scott,Dann,3,1,61,1752,36,73.1,459.0,426,4,310,96.0,2,0,2,2.1,51,2,DEF,55,CRY
104,Joel,Ward,0,1,86,3417,63,263.7,608.2,129,7,568,100.4,7,0,7,0.9,48,2,DEF,50,CRY
105,Martin,Kelly,0,2,46,2124,44,125.1,421.8,61,0,323,61.0,2,0,4,0.6,42,2,DEF,45,CRY
106,Damien,Delaney,0,2,51,2014,39,79.6,496.6,67,3,344,64.1,3,0,8,0.5,48,2,DEF,50,CRY
107,Pape,Souaré,0,0,6,270,3,33.5,53.6,9,0,37,9.7,0,0,0,0.2,41,2,DEF,45,CRY
108,Yannick,Bolasie,1,4,45,1048,14,326.7,238.0,252,3,172,81.8,3,0,3,1.7,56,3,MID,60,EVE
109,Jason,Puncheon,0,6,92,3093,53,941.8,500.2,448,6,500,188.7,7,0,9,0.7,51,3,MID,55,CRY
110,Wilfried,Zaha,7,11,149,3019,56,606.4,740.4,865,13,481,221.2,7,0,8,11.9,58,3,MID,55,CRY
111,Mile,Jedinak,0,0,2,90,1,31.2,11.8,0,0,8,4.3,0,0,0,0.1,45,3,MID,45,CRY
112,Joe,Ledley,1,1,40,1160,26,109.9,158.2,48,1,201,31.5,2,0,1,0.4,43,3,MID,45,CRY
113,James,McArthur,5,3,93,1999,39,284.5,400.4,300,8,363,97.7,3,0,5,1.0,47,3,MID,50,CRY
114,Jordon,Mutch,0,0,4,53,1,14.1,15.6,0,0,17,3.1,0,0,0,0.3,42,3,MID,45,CRY
115,Jonathan,Williams,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,45,3,MID,45,CRY
116,Chung-yong,Lee,0,1,24,471,13,125.0,71.2,44,0,103,23.9,2,0,0,0.3,42,3,MID,45,CRY
117,Yohan,Cabaye,4,4,91,2125,41,568.0,427.4,478,6,411,146.8,7,0,7,1.1,56,3,MID,60,CRY
118,Bakary,Sako,0,0,7,142,5,31.6,21.8,32,0,29,8.7,0,0,0,0.0,53,3,MID,55,CRY
119,Andros,Townsend,3,7,116,2520,38,852.4,552.4,511,16,492,191.3,7,0,4,2.2,57,3,MID,65,CRY
120,Fraizer,Campbell,1,0,16,165,4,25.9,42.4,84,0,56,15.2,0,0,0,1.0,44,4,FWD,45,CRY
121,Connor,Wickham,2,0,18,412,6,36.2,87.6,132,0,59,25.0,0,0,1,0.3,55,4,FWD,60,CRY
122,Joel,Robles,0,1,89,1737,20,10.0,439.2,0,5,407,44.9,10,0,2,0.9,47,1,GK,50,EVE
123,Maarten,Stekelenburg,0,0,68,1683,24,0.1,350.4,0,3,309,35.1,4,0,2,1.7,47,1,GK,50,EVE
124,Leighton,Baines,2,5,135,2819,34,695.0,570.8,151,15,647,141.9,11,0,4,11.0,58,2,DEF,55,EVE
125,Seamus,Coleman,4,4,133,2316,28,308.9,596.0,297,15,548,120.3,10,0,3,4.0,56,2,DEF,55,EVE
126,Phil,Jagielka,3,3,104,2251,32,71.7,751.4,278,16,533,110.1,6,1,4,7.5,49,2,DEF,50,EVE
127,John,Stones,0,0,59,2014,29,78.0,441.4,174,4,435,69.7,4,0,1,13.3,46,2,DEF,50,MCI
128,Brendan,Galloway,0,0,9,247,3,18.4,33.0,25,0,44,7.5,1,0,0,0.2,40,2,DEF,45,EVE
129,Tyias,Browning,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,2.0,39,2,DEF,40,EVE
130,Matthew,Pennington,1,0,9,180,6,10.7,63.8,33,0,37,10.8,0,0,0,0.9,39,2,DEF,40,EVE
131,Ramiro,Funes Mori,0,1,69,1543,19,64.0,346.2,129,4,365,54.0,7,0,0,1.4,45,2,DEF,50,EVE
132,Kevin,Mirallas,4,8,119,2074,26,682.1,439.6,739,8,420,185.4,11,0,2,2.2,59,3,MID,65,EVE
133,Ross,Barkley,5,11,144,2900,36,1237.6,692.4,973,11,534,290.3,12,0,5,6.6,70,3,MID,75,EVE
134,Tom,Cleverley,0,3,55,1848,40,438.1,255.2,93,0,294,78.7,3,0,4,0.1,51,3,MID,55,WAT
135,James,McCarthy,1,1,23,613,10,80.4,119.8,84,0,100,28.6,0,0,2,0.2,47,3,MID,50,EVE
136,Gareth,Barry,2,1,68,2109,28,400.6,509.4,244,3,371,115.0,7,0,10,3.2,43,3,MID,45,EVE
137,Darron,Gibson,0,0,17,640,12,51.5,72.4,16,0,101,13.8,1,0,4,0.1,43,3,MID,45,SUN
138,Muhamed,Besic,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,43,3,MID,45,EVE
139,Bryan,Oviedo,0,0,29,1323,26,155.4,250.6,37,0,223,44.4,3,0,4,0.1,42,3,MID,45,SUN
140,Gerard,Deulofeu,0,0,13,460,6,150.8,54.6,115,0,53,32.0,0,0,1,0.8,59,3,MID,65,EVE
141,Aaron,Lennon,0,1,22,509,5,93.4,78.0,54,0,104,22.3,2,0,0,0.2,55,3,MID,60,EVE
142,Romelu,Lukaku,25,6,221,3266,42,701.4,1171.6,1670,33,824,354.1,13,0,3,32.2,101,4,FWD,90,EVE
143,Arouna,Koné,0,0,6,78,3,19.6,7.8,22,0,17,4.9,0,0,0,0.7,51,4,FWD,55,EVE
144,Oumar,Niasse,4,1,44,1096,30,163.0,205.8,417,3,125,76.8,2,1,3,0.4,55,4,FWD,60,HUL
145,Allan,McGregor,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,44,1,GK,45,HUL
146,Eldin,Jakupovic,0,0,86,1980,36,0.3,554.2,4,7,431,55.8,5,0,0,21.9,41,1,GK,40,HUL
147,Brian,Lenihan,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1.1,39,2,DEF,40,HUL
148,Curtis,Davies,0,2,38,2135,53,33.0,644.6,128,3,368,80.5,1,0,4,1.3,49,2,DEF,50,HUL
149,Michael,Dawson,3,0,46,1722,44,46.3,573.6,236,4,311,85.5,1,0,4,0.5,42,2,DEF,45,HUL
150,Moses,Odubajo,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,44,2,DEF,45,HUL
151,Andrew,Robertson,1,2,73,2736,59,352.8,502.6,100,4,488,95.6,5,0,5,1.9,44,2,DEF,45,HUL
152,Harry,Maguire,2,3,71,2307,53,157.2,707.6,439,5,483,130.6,4,0,5,0.8,44,2,DEF,45,HUL
153,Alex,Bruce,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,40,2,DEF,40,HUL
154,Robert,Snodgrass,7,6,133,2548,56,1050.1,550.2,538,16,503,212.3,3,0,2,6.3,55,3,MID,55,WHU
155,Sam,Clucas,3,1,87,3186,75,344.2,482.2,405,4,509,122.5,5,1,9,0.2,47,3,MID,50,HUL
156,Jake,Livermore,1,1,77,2970,62,323.5,556.4,283,2,458,116.5,4,1,5,0.1,47,3,MID,50,WBA
157,Ahmed,Elmohamady,0,2,62,2523,63,428.6,464.4,108,1,428,99.9,3,1,3,0.2,46,3,MID,50,HUL
158,Mohamed,Diamé,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,55,3,MID,55,HUL
159,Tom,Huddlestone,1,2,62,2025,47,300.3,344.4,130,5,348,77.6,4,1,5,0.2,45,3,MID,50,HUL
160,David,Meyler,1,0,33,962,23,123.6,164.6,81,0,179,37.1,2,0,2,0.2,44,3,MID,45,HUL
161,Shaun,Maloney,1,2,24,283,7,70.4,104.6,58,2,86,23.4,1,0,0,0.5,43,3,MID,45,HUL
162,Abel,Hernández,4,4,72,1425,23,190.4,219.4,532,6,208,93.6,4,0,0,0.9,59,4,FWD,60,HUL
163,Adama,Diomande,2,0,42,1171,29,195.4,141.0,259,2,127,58.7,2,0,1,3.6,43,4,FWD,45,HUL
164,Kasper,Schmeichel,0,0,109,2666,47,0.0,757.4,0,10,585,75.8,8,0,1,6.0,49,1,GK,50,LEI
165,Ron-Robert,Zieler,0,0,17,754,16,0.0,136.0,2,0,119,13.9,1,0,0,0.3,44,1,GK,45,LEI
166,Wes,Morgan,1,1,63,2430,45,48.4,480.0,284,0,360,81.4,5,0,3,10.3,46,2,DEF,50,LEI
167,Christian,Fuchs,2,4,104,3103,57,536.4,802.0,152,10,679,149.4,8,0,10,5.7,53,2,DEF,55,LEI
168,Jeffrey,Schlupp,0,2,47,1139,17,100.4,214.2,65,4,237,38.1,3,0,0,0.3,47,2,DEF,50,CRY
169,Marcin,Wasilewski,0,0,1,90,2,0.3,10.8,0,0,10,1.1,0,0,0,1.8,39,2,DEF,40,LEI
170,Ritchie,de Laet,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,44,2,DEF,45,LEI
171,Danny,Simpson,0,3,85,2988,50,199.0,531.2,50,4,529,77.9,9,0,12,2.1,49,2,DEF,50,LEI
172,Robert,Huth,2,2,88,2926,49,69.4,701.0,477,1,479,124.9,9,0,9,1.8,49,2,DEF,50,LEI
173,Yohan,Benalouane,0,0,27,917,15,22.0,158.2,54,0,156,23.6,4,0,4,1.0,40,2,DEF,40,LEI
174,Luis,Hernández,0,0,3,327,8,62.0,57.6,0,0,50,12.0,0,0,1,0.3,42,2,DEF,45,LEI
175,Riyad,Mahrez,6,4,120,2826,48,802.1,573.0,898,9,437,227.8,9,0,4,8.2,89,3,MID,95,LEI
176,Marc,Albrighton,2,6,95,2412,47,719.8,483.8,272,3,468,147.6,8,0,5,2.5,50,3,MID,55,LEI
177,Andy,King,1,0,41,1446,26,122.7,258.4,167,1,217,54.9,1,0,4,0.2,47,3,MID,50,LEI
178,Daniel,Drinkwater,1,1,69,2466,44,307.1,401.8,213,3,384,92.0,8,0,6,3.6,53,3,MID,55,LEI
179,Gökhan,Inler,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,44,3,MID,45,LEI
180,Demarai,Gray,1,4,58,1049,20,268.8,220.4,233,0,210,72.2,4,0,2,0.5,48,3,MID,50,LEI
181,Daniel,Amartey,1,1,53,1673,35,204.0,254.4,109,3,262,57.0,4,0,3,0.2,43,3,MID,45,LEI
182,Nampalys,Mendy,0,0,6,269,5,24.9,16.8,0,0,26,4.0,1,0,1,0.3,44,3,MID,45,LEI
183,Jamie,Vardy,13,8,161,2801,57,450.4,629.8,955,24,555,202.5,7,1,2,13.9,99,4,FWD,100,LEI
184,Leonardo,Ulloa,1,0,24,447,5,55.7,60.8,262,1,56,37.4,2,0,0,0.1,55,4,FWD,60,LEI
185,Shinji,Okazaki,3,1,63,1565,26,262.0,181.2,471,3,220,90.4,7,0,1,1.6,56,4,FWD,60,LEI
186,Ahmed,Musa,2,0,39,761,20,120.8,132.6,232,5,131,47.7,1,0,1,3.0,69,4,FWD,75,LEI
187,Simon,Mignolet,0,0,110,2520,30,0.0,461.2,0,7,506,46.0,9,0,0,3.5,48,1,GK,50,LIV
188,Loris,Karius,0,0,32,900,12,0.0,149.4,0,0,153,15.0,3,0,0,0.7,43,1,GK,50,LIV
189,Mamadou,Sakho,0,0,35,686,6,48.7,143.4,40,6,155,23.2,4,0,0,0.6,47,2,DEF,50,CRY
190,Dejan,Lovren,2,1,106,2553,31,119.2,715.4,236,6,589,107.1,11,0,6,5.6,49,2,DEF,50,LIV
191,Alberto,Moreno,0,1,15,305,7,78.3,64.6,32,1,79,17.5,0,0,1,1.4,44,2,DEF,50,LIV
192,Nathaniel,Clyne,0,2,129,3323,41,716.5,512.0,294,13,735,152.4,12,0,0,10.3,59,2,DEF,55,LIV
193,Jon,Flanagan,0,0,9,360,4,16.4,63.8,0,0,55,8.0,1,0,2,0.2,43,2,DEF,45,BUR
194,Joseph,Gomez,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,48,2,DEF,50,LIV
195,Connor,Randall,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1.7,39,2,DEF,40,LIV
196,Bradley,Smith,0,0,4,269,9,30.3,28.6,27,0,35,8.6,0,0,1,2.5,39,2,DEF,40,BOU
197,Kevin,Stewart,0,0,4,20,0,0.4,3.6,0,0,12,0.4,0,0,0,0.1,42,2,DEF,45,LIV
198,Joel,Matip,1,0,97,2457,25,143.3,588.6,348,7,557,108.0,9,0,3,3.2,54,2,DEF,55,LIV
199,Leiva,Lucas,0,3,47,1112,17,102.9,306.4,99,2,240,51.1,4,0,4,0.2,44,3,MID,45,LIV
200,Jordan,Henderson,1,4,73,2116,28,554.3,507.4,93,9,467,115.5,7,0,8,1.0,62,3,MID,65,LIV
201,Joe,Allen,6,3,118,2930,49,539.8,576.8,675,10,525,179.4,10,0,9,6.4,49,3,MID,50,STO
202,Philippe,Coutinho,13,8,171,2228,27,1081.8,860.0,1125,21,631,306.5,8,0,2,26.0,87,3,MID,80,LIV
203,Emre,Can,5,2,104,2371,28,544.5,512.2,500,12,436,155.3,9,0,6,3.0,48,3,MID,50,LIV
204,Adam,Lallana,8,7,139,2338,32,693.0,679.4,825,14,543,219.5,9,0,3,9.1,67,3,MID,70,LIV
205,Lazar,Markovic,2,0,37,1005,15,160.3,142.2,185,2,125,48.5,5,0,4,0.1,52,3,MID,55,HUL
206,Oluwaseyi,Ojo,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,47,3,MID,50,LIV
207,James,Milner,7,4,139,3154,35,937.0,919.0,493,16,682,235.2,12,0,5,4.8,63,3,MID,65,LIV
208,Roberto,Firmino,11,11,180,3062,39,1127.3,869.6,1569,17,639,356.9,11,0,5,8.8,85,3,MID,85,LIV
209,Cameron,Brannagan,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,42,3,MID,45,LIV
210,Pedro,Chirivella,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,42,3,MID,45,LIV
211,Sadio,Mané,13,7,156,2242,26,660.7,727.0,1074,14,502,246.0,8,0,4,7.8,93,3,MID,90,LIV
212,Christian,Benteke,15,2,136,3131,58,484.4,640.2,1762,13,382,286.1,7,0,10,9.5,72,4,FWD,75,CRY
213,Daniel,Sturridge,3,5,54,775,7,207.4,202.8,492,2,180,89.7,3,0,1,1.9,97,4,FWD,100,LIV
214,Mario,Balotelli,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.2,63,4,FWD,65,LIV
