,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name
0,David,Ospina,0,0,2,143,4,0.0,28.8,0,0,18,2.9,0,0,0,0.2,47,1,GK,50,ARS
1,Petr,Cech,0,0,134,3097,37,0.1,819.8,0,2,660,82.0,12,0,2,13.7,54,1,GK,55,ARS
2,Laurent,Koscielny,2,1,121,2821,37,53.9,831.2,239,19,723,112.7,10,1,4,11.2,61,2,DEF,60,ARS
3,Per,Mertesacker,0,0,1,38,1,0.1,17.8,0,0,5,1.8,0,0,0,0.2,48,2,DEF,50,ARS
4,Gabriel Armando,de Abreu,0,0,45,1517,18,84.5,295.8,119,2,296,50.0,5,0,6,0.8,48,2,DEF,50,ARS
5,Héctor,Bellerín,1,5,119,2503,34,508.3,437.6,395,12,569,133.8,10,0,4,13.9,65,2,DEF,65,ARS
6,Kieran,Gibbs,0,1,45,702,3,171.4,142.4,117,3,201,43.1,6,0,3,1.7,47,2,DEF,50,ARS
7,Mathieu,Debuchy,0,0,1,15,0,1.4,1.0,0,0,2,0.2,0,0,0,0.2,46,2,DEF,50,ARS
8,Carl,Jenkinson,0,0,2,82,1,2.0,19.4,0,0,12,2.1,0,0,0,0.1,48,2,DEF,50,ARS
9,Nacho,Monreal,0,3,115,3153,43,280.3,554.0,220,9,681,105.8,11,0,5,6.4,59,2,DEF,60,ARS
10,Calum,Chambers,2,1,83,2250,37,107.0,692.2,80,7,499,88.0,7,0,4,3.4,43,2,DEF,45,MID
11,Alexis,Sánchez,24,11,264,3217,41,1278.3,1357.8,1896,32,834,453.4,13,0,6,29.7,117,3,MID,110,ARS
12,Theo,Walcott,10,3,122,1916,26,280.5,541.8,1023,7,380,184.1,8,0,1,4.2,72,3,MID,75,ARS
13,Mesut,Özil,8,11,167,2841,30,1649.3,834.4,734,19,729,322.0,12,0,2,7.5,95,3,MID,95,ARS
14,Santiago,Cazorla,2,2,38,618,5,221.7,198.2,89,5,159,50.8,4,0,2,1.4,70,3,MID,75,ARS
15,Aaron,Ramsey,1,4,56,1236,20,361.2,257.2,496,3,240,111.3,4,0,3,1.1,76,3,MID,80,ARS
