,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name
0,David,Ospina,0,0,19,380,3,0.0,75.8,0.0,1,86,7.7,2,0,0,0.2,48,1,GK,50,ARS
1,Petr,Cech,0,0,124,3039,48,0.0,722.4,0.0,7,627,71.9,11,0,1,4.5,53,1,GK,55,ARS
2,Damian Emiliano,Martinez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,40,1,GK,40,ARS
3,Laurent,Koscielny,2,0,100,2225,32,123.8,692.0,137.0,16,556,95.5,9,0,4,1.5,60,2,DEF,60,ARS
4,Per,Mertesacker,1,0,16,364,7,3.0,119.6,38.0,2,81,16.1,0,0,0,0.5,47,2,DEF,50,ARS
5,Gabriel Armando,de Abreu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,2,DEF,50,ARS
6,Héctor,Bellerín,2,4,132,3050,44,561.0,554.0,484.0,11,656,160.1,12,0,5,10.3,59,2,DEF,60,ARS
7,Carl,Jenkinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,2,DEF,45,ARS
8,Nacho,Monreal,5,2,130,2241,29,238.7,693.6,305.0,15,604,124.0,10,0,3,8.0,57,2,DEF,55,ARS
9,Rob,Holding,0,1,27,819,17,39.3,212.2,24.0,1,196,27.5,3,0,3,0.7,44,2,DEF,50,ARS
10,Shkodran,Mustafi,3,1,109,2272,30,129.9,836.6,202.0,13,610,117.0,10,0,6,4.2,54,2,DEF,55,ARS
11,Sead,Kolasinac,2,4,108,2146,30,334.9,443.2,404.0,6,510,118.3,10,0,3,6.1,58,2,DEF,60,ARS
12,Mesut,Özil,4,9,112,2161,36,1287.5,640.6,555.0,11,506,248.6,8,0,4,2.1,93,3,MID,95,ARS
13,Santiago,Cazorla,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,69,3,MID,70,ARS
14,Aaron,Ramsey,7,10,130,1844,25,478.3,631.2,734.0,12,503,184.2,9,0,0,4.5,68,3,MID,70,ARS
15,Francis,Coquelin,0,0,7,164,6,16.9,22.2,8.0,0,35,4.8,0,0,0,0.5,43,3,MID,45,ARS
16,Alex,Iwobi,3,5,89,1827,26,592.9,430.0,635.0,2,426,165.6,9,0,1,1.0,51,3,MID,55,ARS
17,Mohamed,Elneny,0,1,22,865,12,194.4,138.2,92.0,0,156,42.5,3,1,3,3.0,42,3,MID,45,ARS
18,Granit,Xhaka,1,8,109,3259,50,822.8,753.4,378.0,3,593,195.3,12,0,10,7.0,51,3,MID,55,ARS
19,Jack,Wilshere,1,3,46,1185,16,281.8,258.4,169.0,2,236,71.0,4,0,6,0.7,50,3,MID,55,ARS
20,Danny,Welbeck,5,2,70,1178,21,212.8,309.8,435.0,6,249,96.0,4,0,1,1.2,73,4,FWD,75,ARS
21,Lucas,Pérez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,74,4,FWD,75,ARS
22,Alexandre,Lacazette,14,5,138,2197,28,566.0,725.6,1291.0,11,543,258.0,10,0,1,7.6,103,4,FWD,105,ARS
23,Henrikh,Mkhitaryan,3,9,107,1712,17,727.8,506.8,400.0,9,411,163.8,12,0,2,7.5,77,3,MID,80,ARS
24,Calum,Chambers,0,0,23,864,14,40.0,227.8,134.0,0,171,40.2,2,0,1,0.4,47,2,DEF,50,ARS
25,Reiss,Nelson,0,0,5,144,3,29.7,12.0,11.0,0,23,5.3,0,0,0,0.0,47,3,MID,50,ARS
26,Ainsley,Maitland-Niles,0,0,25,908,16,141.3,168.4,67.0,0,160,37.8,3,0,1,0.1,45,3,MID,45,ARS
27,Matt,Macey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,1,GK,50,ARS
28,Edward,Nketiah,0,0,3,17,1,1.9,5.0,17.0,0,10,2.3,0,0,0,0.0,50,4,FWD,50,ARS
29,Mathieu,Debuchy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,2,DEF,45,ARS
30,Konstantinos,Mavropanos,0,0,4,194,5,1.3,52.2,2.0,0,41,5.5,1,1,0,0.0,42,2,DEF,45,ARS
31,Pierre-Emerick,Aubameyang,10,4,87,1056,15,207.1,484.0,580.0,12,354,127.1,4,0,0,14.0,108,4,FWD,105,ARS
32,Joseph,Willock,0,0,3,81,2,5.8,8.2,4.0,0,8,1.8,0,0,0,0.0,45,3,MID,45,ARS
33,Jordi,Osei-Tutu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,2,DEF,40,ARS
34,Asmir,Begovic,0,0,112,3420,61,20.0,790.8,0.0,6,631,80.8,6,0,2,4.1,45,1,GK,45,BOU
35,Artur,Boruc,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.3,41,1,GK,45,BOU
36,Adam,Federici,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.2,40,1,GK,40,BOU
37,Simon,Francis,0,1,56,2708,47,418.4,726.8,163.0,3,491,131.0,4,1,8,1.3,43,2,DEF,45,BOU
38,Steve,Cook,2,1,83,2764,53,65.6,870.0,271.0,9,495,120.6,5,0,5,1.1,46,2,DEF,50,BOU
39,Charlie,Daniels,1,3,94,3001,50,479.7,582.2,196.0,4,587,125.9,6,0,0,6.6,47,2,DEF,50,BOU
40,Adam,Smith,1,3,56,2067,38,345.5,455.0,144.0,3,376,94.5,2,0,6,0.4,48,2,DEF,50,BOU
41,Tyrone,Mings,0,0,3,201,5,14.8,46.6,10.0,0,40,7.2,0,0,1,0.2,42,2,DEF,45,BOU
42,Bradley,Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.2,39,2,DEF,40,BOU
43,Nathan,Aké,2,3,102,3352,59,115.1,932.4,287.0,8,642,133.5,6,0,5,6.1,50,2,DEF,50,BOU
44,Harry,Arter,1,0,27,959,13,76.1,146.0,69.0,0,156,29.2,3,0,4,0.3,47,3,MID,50,BOU
