Unnamed: 0,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name,name,id
52,Morgan,Sanson,0,0,13,349,8,36.6,52.8,3.0,0,61,9.4,0,0,0,0.0,50,3,MID,50,AVL,Morgan Sanson_34,34
53,John,McGinn,3,4,110,3090,48,777.4,692.8,307.0,12,495,177.8,10,0,8,1.1,56,3,MID,60,AVL,John McGinn_35,35
54,Kortney,Hause,1,0,20,397,9,5.9,102.8,64.0,3,89,17.3,1,0,0,0.2,44,2,DEF,45,AVL,Kortney Hause_36,36
55,Mahmoud Ahmed,Ibrahim Hassan,0,0,1,10,1,2.0,1.8,10.0,0,4,1.4,0,0,0,0.0,54,3,MID,55,AVL,Mahmoud Ahmed Ibrahim Hassan_37,37
56,Tyrone,Mings,1,4,118,3188,49,130.9,649.2,309.0,12,596,108.8,11,0,11,6.9,50,2,DEF,50,AVL,Tyrone Mings_38,38
57,Ollie,Watkins,11,3,131,2950,48,459.1,598.4,1319.0,17,441,237.7,10,0,7,9.1,75,4,FWD,75,AVL,Ollie Watkins_40,40
58,Marvelous,Nakamba,0,0,22,899,20,42.1,134.0,0.0,0,124,17.8,2,0,5,0.1,44,3,MID,45,AVL,Marvelous Nakamba_41,41
59,Emiliano,Buendía Stati,4,6,107,1887,32,659.3,479.4,531.0,8,378,167.3,7,0,1,1.3,61,3,MID,65,AVL,Emiliano Buendía Stati_43,43
60,Matthew,Cash,4,3,147,3377,50,432.1,709.0,517.0,11,623,165.8,13,0,8,11.5,53,2,DEF,50,AVL,Matthew Cash_44,44
61,Ezri,Konsa Ngoyo,2,0,78,2477,43,56.5,428.2,251.0,4,388,73.4,8,2,4,0.9,49,2,DEF,50,AVL,Ezri Konsa Ngoyo_45,45
62,Frédéric,Guilbert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,2,DEF,45,AVL,Frédéric Guilbert_46,46
63,Wesley,Moraes,0,0,1,1,0,0.5,0.0,0.0,0,2,0.0,0,0,0,0.1,54,4,FWD,55,AVL,Wesley Moraes_47,47
64,Mbwana Ally,Samatta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,4,FWD,55,AVL,Mbwana Ally Samatta_48,48
65,Keinan,Davis,0,0,1,11,0,1.0,0.4,0.0,0,2,0.1,0,0,0,1.4,45,4,FWD,45,AVL,Keinan Davis_49,49
66,Douglas Luiz,Soares de Paulo,2,3,89,2715,38,547.5,495.2,199.0,3,468,124.3,10,0,7,1.9,43,3,MID,45,AVL,Douglas Luiz Soares de Paulo_50,50
67,Jacob,Ramsey,6,1,109,2465,35,333.1,533.8,432.0,9,402,130.2,12,0,6,4.9,47,3,MID,45,AVL,Jacob Ramsey_51,51
68,Ashley,Young,0,2,50,1234,19,201.9,187.4,113.0,0,224,50.2,4,0,2,0.5,47,2,DEF,50,AVL,Ashley Young_52,52
69,Lucas,Digne,0,4,83,2440,42,753.1,489.8,200.0,8,459,144.5,7,0,6,5.9,50,2,DEF,55,AVL,Lucas Digne_168,168
70,Danny,Ings,7,6,106,1891,26,210.9,448.6,749.0,12,344,140.3,10,0,4,9.3,77,4,FWD,80,AVL,Danny Ings_337,337
71,Leon,Bailey,1,3,37,750,13,118.5,143.2,271.0,1,98,53.2,2,0,3,0.4,63,3,MID,65,AVL,Leon Bailey_492,492
72,Aaron,Ramsey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,44,3,MID,45,AVL,Aaron Ramsey_496,496
73,Jaden,Philogene-Bidace,0,0,1,4,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,3,MID,50,AVL,Jaden Philogene-Bidace_497,497
74,Carney,Chukwuemeka,0,1,16,291,6,34.6,44.0,69.0,0,43,14.9,0,0,0,0.1,45,3,MID,45,AVL,Carney Chukwuemeka_526,526
75,Cameron,Archer,0,0,3,24,0,0.8,0.0,18.0,0,3,1.6,0,0,0,0.8,45,4,FWD,45,AVL,Cameron Archer_568,568
76,Viljami,Sinisalo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,1,GK,40,AVL,Viljami Sinisalo_596,596
77,Lamare,Bogarde,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,2,DEF,40,AVL,Lamare Bogarde_610,610
78,Tim,Iroegbunam,0,0,4,90,0,2.0,10.6,4.0,0,17,1.7,1,0,1,0.0,45,3,MID,45,AVL,Tim Iroegbunam_638,638
79,Filip,Marschall,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,1,GK,40,AVL,Filip Marschall_650,650
80,Josh,Feeney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,2,DEF,40,AVL,Josh Feeney_670,670
81,Philippe,Coutinho Correia,5,3,83,1327,17,338.3,324.2,419.0,7,283,108.3,7,0,0,10.6,71,3,MID,70,AVL,Philippe Coutinho Correia_681,681
82,Kaine,Hayden,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,2,DEF,40,AVL,Kaine Hayden_684,684
83,Robin,Olsen,0,0,1,90,3,0.0,0.0,0.0,0,14,0.0,0,0,0,0.0,40,1,GK,40,AVL,Robin Olsen_691,691
84,Benjamin,Chrisene,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,3,MID,45,AVL,Benjamin Chrisene_703,703
