,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position,initial_cost,team_name
0,Mesut,Özil,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,67,3,MID,70,ARS
1,Sokratis,Papastathopoulos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,48,2,DEF,50,ARS
2,David,Luiz Moreira Marinho,1,0,41,1396,20,46.7,250.6,144.0,0,230,43.9,3,1,1,0.8,54,2,DEF,55,ARS
3,Pierre-Emerick,Aubameyang,10,3,131,2330,26,361.5,493.8,823.0,11,358,167.4,10,0,2,7.2,113,3,MID,120,ARS
4,Cédric,Soares,0,1,28,744,11,114.8,110.8,66.0,3,125,29.2,2,0,1,0.3,46,2,DEF,50,ARS
5,Alexandre,Lacazette,13,3,129,1916,21,307.4,602.4,797.0,21,452,170.4,7,0,3,4.3,84,4,FWD,85,ARS
6,Shkodran,Mustafi,0,0,3,45,1,1.0,11.6,0.0,0,16,1.3,0,0,0,0.0,50,2,DEF,50,ARS
7,Bernd,Leno,0,0,131,3131,37,0.0,702.2,2.0,11,625,70.3,11,1,0,7.3,50,1,GK,50,ARS
8,Granit,Xhaka,1,2,70,2519,27,327.6,456.0,154.0,1,396,94.0,10,1,7,0.4,52,3,MID,55,ARS
9,Pablo,Marí,0,0,34,900,8,26.4,163.2,16.0,1,182,20.6,4,0,2,0.1,44,2,DEF,45,ARS
10,Héctor,Bellerín,1,3,94,2089,24,351.8,362.8,232.0,17,421,94.7,7,0,8,3.5,50,2,DEF,50,ARS
11,Calum,Chambers,0,3,36,751,10,169.4,171.8,77.0,3,168,41.9,2,0,0,0.2,45,2,DEF,45,ARS
12,Sead,Kolasinac,0,0,2,90,1,5.4,3.6,4.0,0,9,1.3,0,0,0,0.1,48,2,DEF,50,ARS
13,Rob,Holding,0,1,105,2557,26,76.1,602.6,97.0,10,536,77.7,11,0,2,4.7,43,2,DEF,45,ARS
14,Kieran,Tierney,1,4,96,2299,27,490.1,446.4,201.0,4,483,113.9,8,0,4,4.3,52,2,DEF,55,ARS
15,Nicolas,Pépé,10,3,114,1606,21,235.9,476.2,774.0,11,351,148.5,4,1,1,2.4,77,3,MID,80,ARS
